LAT,LON,depth
18.48333,83.325,1.64
18,83.16667,2.17
18.45,83.53333,2.48
18.58333,83.36667,1.8
18.61667,83.525,2.25
17.97167,83.23333,1.32
17.99472,83.24278,1.4
18.5025,83.25417,2.26
18.52222,83.52222,0.75
18.37065909,83.32816857,1.37
18.36618083,83.32430489,1.99
18.36170257,83.32044121,2.39
18.35722431,83.31657753,4.35
18.35274605,83.31271385,8.03
18.34826779,83.30885016,0.99
18.34378953,83.30498648,0.83
18.33931126,83.3011228,1.48
18.334833,83.29725912,1.07
18.33035474,83.29339544,1.53
18.32587648,83.28953176,4.09
18.32139822,83.28566807,0.56
18.31691996,83.28180439,2.77
18.3124417,83.27794071,5.23
18.30796344,83.27407703,5.08
18.30348518,83.27021335,1.49
18.29900692,83.26634967,1.31
18.29452866,83.26248599,4.14
18.2900504,83.2586223,3.97
18.28557213,83.25475862,2.15
18.28109387,83.25089494,2.52
17.85167,83.25694,2.23
17.75833,82.48194,2.7
17.98667,82.98333,2.3
17.90889,82.81722,2.6
17.97167,82.81917,1.92
18.03583,82.70417,5.95
18.10361,82.675,1.37
18.14556,82.695,1.99
18.17083,82.63694,2.39
18.23667,83.01194,4.35
18.27222,82.97222,8.03
18.21222,82.78,0.99
18.325,82.82639,0.83
17.45833,82.85,1.48
17.65,82.58333,1.07
17.88333,83.43333,1.53
17.88056,83.3125,4.09
17.86667,82.425,0.56
17.88333,82.15,2.77
17.90833,82.12083,5.23
17.925,82.75,1.54
18.08333,82.7,5.48
18.20833,83.075,3.63
18.25833,82.8,5.89
18.33611,82.84722,7.28
17.48333,83.00417,2.75
17.69167,83,1.63
17.77917,82.78472,2.74
17.38194,82.77083,1.56
17.42917,82.74722,1.26
17.39722,82.81667,1.35
17.5625,82.69167,2.55
17.60833,82.8125,4.6
17.66944,82.44583,1.13
17.70833,82.91667,0.69
17.7,82.66667,2.75
17.71917,83.29,1.5
17.73417,83.28,3.48
17.69056,83.295,5.08
17.66667,82.20833,1.49
17.67083,82.3625,1.31
17.71528,83.33194,4.14
17.78472,83.38194,3.97
17.79194,83.385,2.15
17.73056,83.34333,2.52
17.74056,83.34194,3.58
17.75306,83.3425,1.53
17.75778,83.32222,5.22
17.81111,83.20556,0.6
17.82861,82.93389,0.88
17.77083,82.90833,2.52
17.80167,83.35917,7.68
17.8125,82.49167,1.32
17.47778,82.84167,1.2
17.55,82.85417,3.54
17.50833,82.66667,1.54
17.64722,82.86111,1.95
17.61111,82.65,2.07
17.70139,82.47917,4
17.71472,82.59056,2.5
17.70917,83.20722,8.1
17.74861,82.5625,5.53
17.75278,82.7,1.25
17.76167,83.22028,6.1
